Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,100000,27088,38003,1536205,132723,2856936,4356926
arreglo2.csv,100000,26926,35865,1536644,132284,2790769,4290759
arreglo3.csv,100000,26137,43359,1536123,132805,2840434,4340424
arreglo4.csv,100000,40889,63211,1536375,132553,2804620,4304610
arreglo5.csv,100000,35414,54854,1536495,132433,2804256,4304246
arreglo6.csv,100000,34906,48868,1536395,132533,2752669,4252659
arreglo7.csv,100000,33951,50726,1536387,132541,2669085,4169075
arreglo8.csv,100000,27930,37892,1536379,132549,2788418,4288408
arreglo9.csv,100000,26926,37900,1536747,132181,2872039,4372029
arreglo10.csv,100000,29879,38936,1536413,132515,2905060,4405050
arreglo11.csv,100000,24971,36870,1536560,132368,3028387,4528377
arreglo12.csv,100000,25929,36901,1536058,132870,2738319,4238309
arreglo13.csv,100000,26078,40109,1536342,132586,2902413,4402403
arreglo14.csv,100000,24951,36863,1536410,132518,2757467,4257457
arreglo15.csv,100000,24010,35039,1536096,132832,2829507,4329497
arreglo16.csv,100000,27257,33949,1536360,132568,2756075,4256065
arreglo17.csv,100000,24927,35252,1536255,132673,2694151,4194141
arreglo18.csv,100000,24971,37015,1536064,132864,2937232,4437222
arreglo19.csv,100000,24934,35063,1536204,132724,2796568,4296558
arreglo20.csv,100000,23897,36203,1536113,132815,2813046,4313036
arreglo21.csv,100000,23972,35866,1536116,132812,2857042,4357032
arreglo22.csv,100000,24895,34944,1536266,132662,2866743,4366733
arreglo23.csv,100000,25889,35712,1536420,132508,2768280,4268270
arreglo24.csv,100000,24104,35056,1536133,132795,2814732,4314722
arreglo25.csv,100000,23935,35039,1536591,132337,2830697,4330687
arreglo26.csv,100000,24961,36062,1536426,132502,3067441,4567431
arreglo27.csv,100000,25930,37064,1536269,132659,3001468,4501458
arreglo28.csv,100000,24894,40892,1536395,132533,2873365,4373355
arreglo29.csv,100000,25929,36001,1536503,132425,2845032,4345022
arreglo30.csv,100000,23884,36862,1536168,132760,2819322,4319312
